ticker,name,category,region,note
^GSPC,S&P500,index,US,1927年〜
^DJI,ダウ工業株30種,index,US,
^IXIC,ナスダック総合,index,US,
^RUT,ラッセル2000(小型株),index,US,
^N225,日経平均,index,JP,1965年〜
^VIX,恐怖指数,volatility,US,株価とは逆相関
^TNX,米10年債利回り,rate,US,
SPY,S&P500ETF,broad,US,1993年〜
QQQ,ナスダック100ETF,broad,US,1999年〜
IWM,ラッセル2000ETF,broad,US,2000年〜
DIA,ダウETF,broad,US,1998年〜
XLE,エネルギー,sector,US,1998年〜
XLF,金融,sector,US,1998年〜
XLK,テクノロジー,sector,US,1998年〜
XLV,ヘルスケア,sector,US,1998年〜
XLI,資本財,sector,US,1998年〜
XLP,生活必需品,sector,US,1998年〜
XLY,一般消費財,sector,US,1998年〜
XLB,素材,sector,US,1998年〜
XLU,公益,sector,US,1998年〜
XLRE,不動産,sector,US,2015年〜
XLC,通信サービス,sector,US,2018年〜
SMH,半導体,industry,US,2000年〜
IBB,バイオテクノロジー(新薬),industry,US,2001年〜
XBI,バイオテック(等ウェイト),industry,US,2006年〜
KBE,銀行,industry,US,2005年〜
KRE,地方銀行,industry,US,2006年〜
ITB,住宅建設,industry,US,2006年〜
IYT,運輸,industry,US,2003年〜
XME,金属・鉱業,industry,US,2006年〜
OIH,石油サービス,industry,US,
XRT,小売,industry,US,2006年〜
XHB,住宅関連,industry,US,2006年〜
CARZ,自動車,industry,US,2011年〜
GLD,金,commodity,US,2004年〜
SLV,銀,commodity,US,2006年〜
GDX,金鉱株,commodity,US,2006年〜
USO,原油,commodity,US,2006年〜
DBC,商品指数,commodity,US,2006年〜
DBA,農産物,commodity,US,2007年〜
CPER,銅,commodity,US,2011年〜
TLT,米国債20年超,bond,US,2002年〜
IEF,米国債7-10年,bond,US,2002年〜
SHY,米国債1-3年,bond,US,2002年〜
LQD,投資適格社債,bond,US,2002年〜
HYG,ハイイールド債,bond,US,2007年〜
TIP,物価連動債,bond,US,2003年〜
EWJ,日本株,region,US,1996年〜
EFA,先進国(除く北米),region,US,2001年〜
EEM,新興国,region,US,2003年〜
VGK,欧州,region,US,2005年〜
FXI,中国大型株,region,US,2004年〜
EWY,韓国,region,US,2000年〜
EWT,台湾,region,US,2000年〜
INDA,インド,region,US,2012年〜
UUP,ドル指数,fx,US,2007年〜
FXY,円,fx,US,2007年〜
1306.T,TOPIX連動ETF,broad,JP,
1321.T,日経225ETF,broad,JP,
1617.T,食品(TOPIX-17),sector,JP,2009年〜
1618.T,エネルギー資源(TOPIX-17),sector,JP,
1619.T,建設・資材(TOPIX-17),sector,JP,
1620.T,素材・化学(TOPIX-17),sector,JP,
1621.T,医薬品(TOPIX-17),sector,JP,
1622.T,自動車・輸送機(TOPIX-17),sector,JP,
1623.T,鉄鋼・非鉄(TOPIX-17),sector,JP,
1624.T,機械(TOPIX-17),sector,JP,
1625.T,電機・精密(TOPIX-17),sector,JP,
1626.T,情報通信・サービス(TOPIX-17),sector,JP,
1627.T,電力・ガス(TOPIX-17),sector,JP,
1628.T,運輸・物流(TOPIX-17),sector,JP,
1629.T,商社・卸売(TOPIX-17),sector,JP,
1630.T,小売(TOPIX-17),sector,JP,
1631.T,銀行(TOPIX-17),sector,JP,
1632.T,金融除く銀行(TOPIX-17),sector,JP,
1633.T,不動産(TOPIX-17),sector,JP,
