ticker,period_end,net_income,eps_annual,equity,shares,bps
1332.T,2022-03-31,,,,,
1332.T,2023-03-31,21233000000.0,68.22,216841000000.0,311233449.0,696.714960094151
1332.T,2024-03-31,23850000000.0,76.67,249192000000.0,310829551.0,801.6998358048653
1332.T,2025-03-31,25381000000.0,81.66,277039000000.0,310822946.0,891.3080696429664
1332.T,2026-03-31,27517000000.0,90.17,300120000000.0,303271829.0,989.6072476946086
1333.T,2022-03-31,,,,,
1333.T,2023-03-31,18596000000.0,121.226667,178311000000.0,151352502.0,1178.1172933632772
1333.T,2024-03-31,20853000000.0,137.87,207128000000.0,151091307.0,1370.8796628518146
1333.T,2025-03-31,23264000000.0,153.966667,229568000000.0,151107096.0,1519.240367110225
1333.T,2026-03-31,22182000000.0,146.75,247236000000.0,151183299.0,1635.3393637745662
1377.T,2022-05-31,,,,,
1377.T,2023-05-31,9489000000.0,213.98,137679000000.0,44349750.0,3104.391794767727
1377.T,2024-05-31,16162000000.0,365.22,160080000000.0,43849214.0,3650.692575698164
1377.T,2025-05-31,9711000000.0,222.58,161304000000.0,43249523.0,3729.613387874821
1377.T,2026-05-31,12163000000.0,284.46,178462000000.0,42259696.0,4222.983525484897
1414.T,2022-06-30,12366000000.0,57.765,94153000000.0,212967952.0,442.0993821643174
1414.T,2023-06-30,12887000000.0,60.8825,98016000000.0,210515664.0,465.59955747521
1414.T,2024-06-30,14321000000.0,68.4325,103094000000.0,208153180.0,495.2794860016071
1414.T,2025-06-30,15061000000.0,73.0075,105101000000.0,204274792.0,514.5079281245823
1417.T,2022-03-31,,,,,
1417.T,2023-03-31,14781000000.0,151.2,246816000000.0,95907577.0,2573.4775887415026
1417.T,2024-03-31,12535000000.0,133.34,251977000000.0,92100912.0,2735.8795317900867
1417.T,2025-03-31,17179000000.0,189.4,261500000000.0,89710676.0,2914.9262012026306
1417.T,2026-03-31,23282000000.0,261.74,279439000000.0,88665755.0,3151.6000737827135
1515.T,2023-03-31,9780000000.0,117.578,132343000000.0,83183310.0,1590.9802098521927
1515.T,2024-03-31,6602000000.0,79.376,140754000000.0,83179835.0,1692.164933965065
1515.T,2025-03-31,9019000000.0,109.348,141487000000.0,78676655.0,1798.335224089026
1515.T,2026-03-31,14033000000.0,178.37,157306000000.0,78682023.0,1999.2622711289464
1605.T,2021-12-31,,,,,
1605.T,2022-12-31,461069000000.0,337.37,3760850000000.0,1306904667.0,2877.677381497942
1605.T,2023-12-31,321708000000.0,248.55,4209101000000.0,1258244461.0,3345.217189873248
1605.T,2024-12-31,427344000000.0,345.31,4821805000000.0,1197599828.0,4026.223858141703
1605.T,2025-12-31,393836000000.0,330.82,4747158000000.0,1165393699.0,4073.4371603977584
