ticker,name,category,region,note,本数,開始,終了,年数
^GSPC,S&P500,index,US,1927年〜,24798,1927-12-30,2026-09-22,98.7
^TNX,米10年債利回り,rate,US,,16168,1962-01-02,2026-09-22,64.7
^N225,日経平均,index,JP,1965年〜,15171,1965-01-05,2026-09-18,61.7
^IXIC,ナスダック総合,index,US,,14024,1971-02-05,2026-09-22,55.6
^RUT,ラッセル2000(小型株),index,US,,9832,1987-09-10,2026-09-22,39.0
^VIX,恐怖指数,volatility,US,株価とは逆相関,9250,1990-01-02,2026-09-22,36.7
^DJI,ダウ工業株30種,index,US,,8742,1992-01-02,2026-09-22,34.7
SPY,S&P500ETF,broad,US,1993年〜,8469,1993-01-29,2026-09-22,33.6
EWJ,日本株,region,US,1996年〜,7678,1996-03-18,2026-09-22,30.5
DIA,ダウETF,broad,US,1998年〜,7213,1998-01-20,2026-09-22,28.7
XLF,金融,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLE,エネルギー,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLU,公益,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLY,一般消費財,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLV,ヘルスケア,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLK,テクノロジー,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLP,生活必需品,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLI,資本財,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
XLB,素材,sector,US,1998年〜,6979,1998-12-22,2026-09-22,27.8
QQQ,ナスダック100ETF,broad,US,1999年〜,6927,1999-03-10,2026-09-22,27.5
EWY,韓国,region,US,2000年〜,6629,2000-05-12,2026-09-22,26.4
IWM,ラッセル2000ETF,broad,US,2000年〜,6619,2000-05-26,2026-09-22,26.3
SMH,半導体,industry,US,2000年〜,6614,2000-06-05,2026-09-22,26.3
EWT,台湾,region,US,2000年〜,6600,2000-06-23,2026-09-22,26.2
OIH,石油サービス,industry,US,,6431,2001-02-26,2026-09-22,25.6
IBB,バイオテクノロジー(新薬),industry,US,2001年〜,6440,2001-02-12,2026-09-22,25.6
EFA,先進国(除く北米),region,US,2001年〜,6304,2001-08-27,2026-09-22,25.1
TLT,米国債20年超,bond,US,2002年〜,6076,2002-07-30,2026-09-22,24.1
IEF,米国債7-10年,bond,US,2002年〜,6076,2002-07-30,2026-09-22,24.1
SHY,米国債1-3年,bond,US,2002年〜,6076,2002-07-30,2026-09-22,24.1
LQD,投資適格社債,bond,US,2002年〜,6076,2002-07-30,2026-09-22,24.1
EEM,新興国,region,US,2003年〜,5898,2003-04-14,2026-09-22,23.4
TIP,物価連動債,bond,US,2003年〜,5734,2003-12-05,2026-09-22,22.8
IYT,運輸,industry,US,2003年〜,5716,2004-01-02,2026-09-22,22.7
FXI,中国大型株,region,US,2004年〜,5523,2004-10-08,2026-09-22,22.0
GLD,金,commodity,US,2004年〜,5494,2004-11-18,2026-09-22,21.8
VGK,欧州,region,US,2005年〜,5418,2005-03-10,2026-09-22,21.5
KBE,銀行,industry,US,2005年〜,5244,2005-11-15,2026-09-22,20.9
DBC,商品指数,commodity,US,2006年〜,5189,2006-02-06,2026-09-22,20.6
XBI,バイオテック(等ウェイト),industry,US,2006年〜,5189,2006-02-06,2026-09-22,20.6
XHB,住宅関連,industry,US,2006年〜,5189,2006-02-06,2026-09-22,20.6
USO,原油,commodity,US,2006年〜,5145,2006-04-10,2026-09-22,20.5
ITB,住宅建設,industry,US,2006年〜,5127,2006-05-05,2026-09-22,20.4
SLV,銀,commodity,US,2006年〜,5132,2006-04-28,2026-09-22,20.4
KRE,地方銀行,industry,US,2006年〜,5094,2006-06-22,2026-09-22,20.3
XME,金属・鉱業,industry,US,2006年〜,5094,2006-06-22,2026-09-22,20.3
XRT,小売,industry,US,2006年〜,5094,2006-06-22,2026-09-22,20.3
GDX,金鉱株,commodity,US,2006年〜,5116,2006-05-22,2026-09-22,20.3
DBA,農産物,commodity,US,2007年〜,4959,2007-01-05,2026-09-22,19.7
UUP,ドル指数,fx,US,2007年〜,4922,2007-03-01,2026-09-22,19.6
FXY,円,fx,US,2007年〜,4933,2007-02-13,2026-09-22,19.6
HYG,ハイイールド債,bond,US,2007年〜,4894,2007-04-11,2026-09-22,19.4
1626.T,情報通信・サービス(TOPIX-17),sector,JP,,4543,2008-03-19,2026-09-18,18.5
