ticker,earnings_date,eps_estimate,eps_reported,surprise
1332.T,2007-11-13,1.69,2.19,29.59
1332.T,2008-02-05,9.26,6.12,-33.91
1332.T,2008-05-16,23.73,23.0,-3.06
1332.T,2008-11-12,3.9,-6.28,-261.03
1332.T,2010-05-15,-4.7,-7.79,-65.74
1332.T,2012-05-15,-3.65,-7.97,-118.36
1332.T,2013-05-15,-29.85,-24.69,17.29
1332.T,2013-11-05,-2.51,1.78,170.92
1332.T,2014-11-05,7.26,12.32,69.7
1332.T,2016-02-05,14.85,16.07,8.22
1332.T,2016-05-13,6.88,3.88,-43.6
1332.T,2017-08-04,10.92,16.25,48.81
1332.T,2017-11-02,22.28,13.44,-39.68
1332.T,2018-02-05,12.85,23.05,79.38
1332.T,2018-05-14,11.47,2.91,-74.63
1332.T,2018-08-03,13.72,16.81,22.52
1332.T,2018-11-05,11.44,13.03,13.9
1332.T,2019-02-05,26.6,26.84,0.9
1332.T,2019-05-14,8.77,0.35,-96.01
1332.T,2019-08-05,15.91,11.63,-26.9
1332.T,2019-11-05,14.62,13.53,-7.46
1332.T,2020-02-05,24.01,22.38,-6.79
1332.T,2020-05-20,7.74,-0.07,-100.9
1332.T,2020-08-03,9.0,10.25,13.89
1332.T,2020-11-05,8.55,5.93,-30.64
1332.T,2021-02-05,14.35,26.17,82.37
1332.T,2021-08-04,10.93,16.67,52.52
1332.T,2021-11-05,9.36,19.99,113.57
1332.T,2022-02-04,23.14,16.69,-27.87
1332.T,2022-11-02,10.66,24.15,126.55
1332.T,2023-02-03,23.29,21.98,-5.62
1332.T,2023-05-12,5.82,8.49,45.88
1332.T,2024-02-06,9.15,27.67,202.4
1332.T,2024-05-14,11.28,11.45,1.51
1332.T,2024-08-06,21.56,17.02,-21.06
1332.T,2024-11-06,20.3,16.76,-17.44
1332.T,2025-02-07,28.79,29.21,1.46
1332.T,2025-05-14,21.94,18.67,-14.9
1332.T,2025-08-05,16.38,20.94,27.84
1332.T,2025-11-06,18.63,25.62,37.52
1332.T,2026-02-06,21.84,26.52,21.43
1332.T,2026-05-14,17.04,17.09,0.29
1332.T,2026-08-06,22.42,24.53,9.41
1332.T,2026-11-06,18.63,,
1333.T,2026-11-09,,,
1377.T,2012-10-12,24.92,23.44,-5.94
1377.T,2013-01-15,0.33,9.87,2872.89
1377.T,2013-04-11,16.33,22.97,40.66
1377.T,2013-10-10,29.58,18.93,-36.01
1377.T,2014-04-11,0.43,14.58,3282.83
1377.T,2014-07-11,6.13,9.43,53.76
1377.T,2014-10-10,25.69,44.49,73.15
1377.T,2015-01-14,9.84,21.64,119.83
1377.T,2015-04-13,16.02,22.21,38.6
1377.T,2015-10-09,36.75,55.77,51.75
1377.T,2016-04-08,18.44,29.8,61.64
1377.T,2017-04-07,28.46,34.96,22.84
1377.T,2017-07-13,8.6,4.89,-43.14
1377.T,2018-01-12,31.26,12.12,-61.23
1377.T,2018-04-06,47.62,36.48,-23.39
1377.T,2018-07-11,10.49,14.85,41.56
1377.T,2019-01-11,10.13,29.27,188.94
1377.T,2019-04-04,46.67,36.22,-22.39
1377.T,2019-07-10,22.21,37.33,68.08
1377.T,2019-10-04,53.33,53.99,1.24
1377.T,2020-01-09,19.34,15.47,-20.01
1377.T,2020-04-03,44.44,37.12,-16.47
1377.T,2020-10-09,53.99,69.38,28.51
1377.T,2026-07-13,,,
1377.T,2026-10-06,,,
1414.T,2014-08-11,2.04,2.72,33.53
1414.T,2014-11-10,2.79,3.55,27.22
1414.T,2015-02-10,7.61,9.23,21.34
1414.T,2015-05-11,10.37,12.08,16.5
1414.T,2015-08-10,2.41,2.66,10.32
1414.T,2015-11-10,3.82,5.13,34.45
1414.T,2016-02-10,9.69,9.79,0.99
1414.T,2016-05-10,11.26,11.82,4.95
1414.T,2016-08-09,3.11,2.37,-23.82
1414.T,2016-11-10,5.36,5.36,0.01
1414.T,2017-02-10,10.14,10.8,6.52
1414.T,2017-05-10,12.88,11.73,-8.93
1414.T,2017-08-09,2.53,4.6,82.15
1414.T,2017-11-10,5.73,6.51,13.63
1414.T,2018-02-09,11.21,10.24,-8.62
1414.T,2018-05-10,14.32,12.29,-14.13
1414.T,2018-08-10,5.8,4.87,-16.16
1414.T,2018-11-09,7.89,6.89,-12.73
1414.T,2019-02-08,10.22,11.08,8.42
1414.T,2019-05-13,13.96,13.48,-3.41
1414.T,2019-08-09,7.05,6.08,-13.77
1414.T,2019-11-08,6.88,6.32,-8.11
1414.T,2020-02-10,11.55,12.43,7.59
1414.T,2020-05-11,14.61,14.13,-3.29
1414.T,2020-08-11,8.54,8.95,4.78
1414.T,2020-11-10,6.97,9.54,36.94
1414.T,2021-02-10,10.17,15.88,56.19
1414.T,2021-05-10,13.17,17.04,29.39
1414.T,2021-08-10,5.95,10.21,71.61
1414.T,2021-11-10,7.48,12.61,68.48
1414.T,2022-02-10,15.22,15.64,2.75
1414.T,2022-05-10,16.12,17.45,8.23
1414.T,2022-08-10,11.71,12.08,3.12
1414.T,2022-11-10,12.75,11.99,-5.94
1414.T,2023-02-10,15.39,15.05,-2.2
1414.T,2023-05-10,16.91,19.58,15.83
1414.T,2023-08-10,14.06,14.26,1.42
1414.T,2023-11-10,13.3,16.55,24.48
1414.T,2024-02-09,15.64,17.95,14.79
1414.T,2024-05-10,16.92,19.58,15.68
1414.T,2024-08-09,16.77,14.35,-14.42
1414.T,2024-11-11,13.02,16.18,24.3
1414.T,2025-02-10,18.94,20.47,8.08
1414.T,2025-05-09,18.95,19.84,4.69
1414.T,2025-08-12,13.33,16.52,23.92
1414.T,2025-11-10,16.65,16.57,-0.51
1414.T,2026-02-10,19.32,19.15,-0.91
1414.T,2026-05-11,20.54,22.56,9.85
1414.T,2026-08-10,19.96,17.81,-10.77
1414.T,2026-11-09,15.73,,
1417.T,2026-11-12,,,
1515.T,2011-02-04,6.32,7.04,11.39
1515.T,2011-05-10,3.8,2.61,-31.28
1515.T,2011-08-04,5.56,11.57,108.21
1515.T,2011-11-04,4.97,8.79,76.72
1515.T,2012-02-03,1.06,14.69,1288.47
1515.T,2012-05-08,3.76,1.27,-66.18
1515.T,2012-08-03,5.63,15.44,174.1
1515.T,2012-11-05,6.17,10.98,78.1
1515.T,2013-02-05,5.52,17.59,218.77
1515.T,2013-05-08,10.39,2.52,-75.74
1515.T,2013-08-02,9.18,22.56,145.83
1515.T,2013-11-05,16.12,14.23,-11.71
1515.T,2014-02-04,15.99,3.19,-80.05
1515.T,2014-05-08,7.4,6.91,-6.6
1515.T,2014-08-04,13.95,11.1,-20.42
1515.T,2014-11-04,15.46,12.02,-22.23
1515.T,2015-02-04,12.87,21.88,70.06
1515.T,2015-05-08,17.11,26.75,56.3
1515.T,2015-08-04,22.7,24.59,8.31
1515.T,2016-02-04,25.11,18.26,-27.28
1515.T,2016-08-04,23.84,35.81,50.24
1515.T,2017-02-03,24.55,64.17,161.45
1515.T,2026-11-05,,,
1605.T,2007-11-09,47.61,45.08,-5.31
1605.T,2008-05-14,51.0,59.42,16.52
1605.T,2008-08-08,66.22,52.81,-20.25
1605.T,2008-11-11,61.46,57.58,-6.32
1605.T,2009-02-12,19.39,39.13,101.83
1605.T,2009-05-13,9.73,4.49,-53.9
1605.T,2009-08-05,23.81,27.61,15.97
1605.T,2009-11-04,20.5,23.0,12.21
1605.T,2010-02-05,29.14,35.1,20.47
1605.T,2010-05-13,15.89,28.17,77.29
1605.T,2010-08-09,32.08,34.0,5.98
1605.T,2010-11-04,21.31,12.46,-41.51
1605.T,2011-02-04,21.42,28.58,33.43
1605.T,2011-05-11,25.05,27.05,7.97
1605.T,2011-08-03,26.48,27.51,3.89
1605.T,2011-11-05,27.36,23.43,-14.37
1605.T,2012-02-03,44.37,28.39,-36.01
1605.T,2012-05-10,47.43,53.51,12.83
1605.T,2012-08-03,33.66,47.9,42.29
1605.T,2012-11-06,25.84,28.37,9.79
1605.T,2013-02-06,27.84,17.75,-36.25
1605.T,2013-05-10,38.14,31.27,-18.02
1605.T,2013-08-02,25.34,20.54,-18.95
1605.T,2013-11-07,26.02,34.3,31.84
1605.T,2014-02-07,28.08,18.48,-34.19
1605.T,2014-05-09,38.3,52.46,36.97
1605.T,2015-02-06,0.08,8.93,11062.5
1605.T,2015-05-14,11.59,-16.41,-241.59
1605.T,2015-11-10,10.87,14.74,35.6
1605.T,2016-02-04,10.21,15.04,47.31
1605.T,2016-05-12,14.56,-34.7,-338.32
1605.T,2016-11-11,2.73,5.38,97.07
1605.T,2017-02-10,4.28,22.05,415.19
1605.T,2017-05-12,2.9,-1.21,-141.72
1605.T,2017-08-04,8.83,13.71,55.27
1605.T,2017-11-08,8.48,6.94,-18.16
1605.T,2018-02-08,9.27,15.92,71.74
1605.T,2018-05-10,7.14,-8.93,-225.07
1605.T,2019-05-05,10.4,11.51,10.67
1605.T,2019-08-08,28.1,20.34,-27.62
1605.T,2019-11-06,15.64,27.0,72.69
1605.T,2020-02-12,21.0,37.02,76.29
1605.T,2020-05-12,15.7,22.99,46.43
1605.T,2020-08-06,0.2,-105.72,-52960.0
1605.T,2020-11-06,-7.6,-3.17,58.29
1605.T,2021-02-10,5.3,9.4,77.36
1605.T,2021-05-13,15.1,26.15,73.18
1605.T,2021-08-10,12.2,9.45,-22.54
1605.T,2021-11-05,45.4,58.72,29.34
1605.T,2022-02-09,36.8,59.55,61.82
1605.T,2022-05-11,76.8,67.86,-11.64
1605.T,2022-08-08,93.2,65.2,-30.04
1605.T,2022-11-08,57.3,60.6,5.76
1605.T,2023-02-09,112.8,127.03,12.62
1605.T,2023-05-10,80.8,115.98,43.54
1605.T,2023-08-09,49.6,78.7,58.67
1605.T,2023-11-09,48.6,20.47,-57.88
1605.T,2024-02-13,62.08,71.9,15.82
1605.T,2024-05-14,93.98,96.82,3.02
1605.T,2024-08-08,79.02,72.44,-8.33
1605.T,2024-11-12,38.85,62.65,61.26
1605.T,2025-02-13,66.9,113.4,69.51
1605.T,2025-05-13,76.75,105.46,37.41
1605.T,2025-08-08,73.1,81.19,11.07
1605.T,2025-11-13,67.3,58.72,-12.75
1605.T,2026-02-12,92.1,85.45,-7.22
1605.T,2026-05-13,91.6,94.08,2.71
1605.T,2026-08-07,125.05,132.25,5.76
1605.T,2026-11-12,93.5,,
1662.T,2010-08-06,1.4,13.05,832.43
1662.T,2010-11-05,-4.9,-6.42,-30.98
1662.T,2011-02-09,9.1,12.79,40.62
1662.T,2011-05-13,14.7,15.6,6.15
1662.T,2011-08-05,10.85,15.47,42.64
1662.T,2011-11-04,7.0,6.69,-4.43
1662.T,2012-02-10,10.47,-0.24,-102.29
1662.T,2012-05-11,27.52,37.66,36.83
1662.T,2012-08-03,13.56,12.15,-10.39
1662.T,2012-11-02,8.19,-97.65,-1291.73
1662.T,2013-02-08,16.12,22.22,37.81
1662.T,2013-08-07,15.29,20.53,34.32
1662.T,2014-02-07,15.81,7.97,-49.56
1662.T,2016-02-05,6.64,-5.58,-184.07
1662.T,2017-02-08,-0.7,10.9,1657.71
1662.T,2019-02-12,12.68,31.38,147.51
1662.T,2020-02-10,7.26,15.7,116.23
1662.T,2020-11-10,-7.34,8.96,222.02
1662.T,2021-02-08,-1.06,11.19,1155.85
1662.T,2022-02-09,167.06,121.03,-27.55
1662.T,2022-05-13,162.3,189.21,16.58
1662.T,2022-08-09,29.22,56.73,94.15
1662.T,2022-11-10,38.8,58.05,49.6
1662.T,2023-02-10,36.72,43.82,19.34
1662.T,2023-05-12,66.44,88.73,33.55
1662.T,2023-08-09,23.78,47.95,101.62
1662.T,2023-11-10,28.2,54.47,93.16
1662.T,2024-02-09,16.96,32.37,90.85
1662.T,2024-05-14,60.7,64.1,5.6
1662.T,2024-08-08,33.6,43.89,30.62
1662.T,2024-11-13,65.8,187.86,185.5
1662.T,2025-02-12,24.3,206.68,750.53
1662.T,2025-05-13,60.1,26.77,-55.46
1662.T,2025-08-07,32.3,61.41,90.12
1662.T,2025-11-12,33.3,44.31,33.06
