ticker,meigara,as_of,per,per_forward,pbr,dividend_yield,roe,profit_margin,debt_to_equity,eps,bps,market_cap,sector,industry
8306.T,三菱ＵＦＪフィナンシャル・グループ,2026-08-27,16.93917,23.701214,1.7825904,2.68,0.09458999,0.27446,,212.23,2016.728,40540355690496.0,Financial Services,Banks - Diversified
7203.T,トヨタ自動車,2026-08-27,8.742035,9.478132,0.975371,3.26,0.12404,0.0863,114.974,351.52,3150.596,36387554328576.0,Consumer Cyclical,Auto Manufacturers
9984.T,ソフトバンクグループ,2026-08-27,5.915993,17.48112,1.6138957,0.21,0.31964,0.61613,130.15,872.55,3198.472,29417843720192.0,Communication Services,Telecom Services
6857.T,アドバンテスト,2026-08-27,68.66635,148.48778,24.510824,0.17,0.56895,0.37325,10.374,514.08,1440.18,25496538578944.0,Technology,Semiconductor Equipment & Materials
8316.T,三井住友フィナンシャルグループ,2026-08-27,16.463593,21.342941,1.6002657,2.01,0.08569,0.27818,,412.0,4238.671,25856802029568.0,Financial Services,Banks - Diversified
8035.T,東京エレクトロン,2026-08-27,44.884884,43.782223,11.89192,1.35,0.30929002,0.23645,,1248.75,4713.284,25463338565632.0,Technology,Semiconductor Equipment & Materials
6098.T,リクルートホールディングス,2026-08-27,48.930367,56.30638,13.367243,0.15,0.36222,0.14974,10.003,348.25,1274.758,23640223514624.0,Communication Services,Internet Content & Information
6501.T,日立製作所,2026-08-27,30.817112,30.573175,3.7156484,1.04,,0.07244,15.628,176.72,1465.693,24377062064128.0,Industrials,Conglomerates
6758.T,ソニーグループ,2026-08-27,20.795582,21.173582,2.7217805,0.9,0.13159999,-0.01746,21.318,186.53,1425.17,22706913280000.0,Technology,Consumer Electronics
9983.T,ファーストリテイリング,2026-08-27,46.16797,52.544292,8.088401,0.89,0.22481,0.1351,28.419,1557.79,8891.745,22068724760576.0,Consumer Cyclical,Apparel Retail
8411.T,みずほフィナンシャルグループ,2026-08-27,14.885075,24.777946,1.7631781,1.8,0.124919996,0.29136,,560.36,4730.662,20266035970048.0,Financial Services,Banks - Regional
6861.T,キーエンス,2026-08-27,44.793457,43.986526,5.6135445,0.67,,0.39224,,1833.75,14632.466,19921014620160.0,Technology,Scientific & Technical Instruments
8058.T,三菱商事,2026-08-27,22.472017,22.250519,1.793482,2.65,0.10077,0.04507,62.621,209.95,2630.637,17274950909952.0,Industrials,Conglomerates
8001.T,伊藤忠商事,2026-08-27,16.498789,3.2644799,2.182353,2.06,0.14093,0.060110003,72.922,128.07,968.221,14769685790720.0,Industrials,Conglomerates
8766.T,東京海上ホールディングス,2026-08-27,27.261658,15.439536,1.7643293,1.71,,0.0,9.282,279.22,4314.387,14461040590848.0,Financial Services,Insurance - Property & Casualty
8031.T,三井物産,2026-08-27,16.811144,16.630934,1.5426117,2.86,0.11378,0.06225,63.652,290.7,3168.004,13850678132736.0,Industrials,Conglomerates
9432.T,ＮＴＴ,2026-08-27,13.296355,11.532646,1.3859751,3.18,0.107130006,0.07126,168.396,12.62,121.07,13625865535488.0,Communication Services,Telecom Services
7011.T,三菱重工業,2026-08-27,56.921757,42.861767,4.209259,0.77,0.14746,0.07763,26.356,69.78,943.634,13346751381504.0,Industrials,Specialty Industrial Machinery
6981.T,村田製作所,2026-08-27,57.674564,31.086946,4.8666806,0.97,0.10063,0.13854,2.009,127.89,1515.612,13426623512576.0,Technology,Electronic Components
2914.T,日本たばこ産業,2026-08-27,20.894367,23.307098,2.8357205,3.9,0.14298001,0.16726999,37.91,335.88,2474.856,12459458953216.0,Consumer Defensive,Tobacco
4519.T,中外製薬,2026-08-27,24.183464,29.345936,5.617517,1.87,0.23493,0.35103,,286.27,1232.395,11392331546624.0,Healthcare,Drug Manufacturers - General
7182.T,ゆうちょ銀行,2026-08-27,22.502209,28.260683,1.2776293,2.87,0.06572,0.30753002,,147.23,2593.084,11800858853376.0,Financial Services,Banks - Regional
6503.T,三菱電機,2026-08-27,28.318628,34.013565,2.5149736,1.07,0.10283,0.07018,7.163,198.35,2233.423,11494829850624.0,Industrials,Electrical Equipment & Parts
9434.T,ソフトバンク,2026-08-27,21.019505,20.45729,3.8954425,3.67,0.16712,0.07721,159.994,11.28,60.866,11341374947328.0,Communication Services,Telecom Services
4063.T,信越化学工業,2026-08-27,23.72821,18.163345,2.4432323,1.94,0.112320006,0.18361999,5.487,252.4,2451.261,11077833195520.0,Basic Materials,Chemicals
9433.T,ＫＤＤＩ,2026-08-27,15.710703,1236.6953,2.1397765,2.9,0.14586,0.12086,93.799,183.41,1346.636,10653047717888.0,Communication Services,Telecom Services
7974.T,任天堂,2026-08-27,24.187094,25.9219,3.48566,2.46,,0.0,,364.74,2530.941,10170647183360.0,Communication Services,Electronic Gaming & Multimedia
6752.T,パナソニック　ホールディングス,2026-08-27,53.945583,25.952028,1.8926061,1.24,0.0525,0.030989999,27.876,81.23,2315.326,10231641800704.0,Technology,Consumer Electronics
4502.T,武田薬品工業,2026-08-27,,41.178146,1.2087632,3.48,-0.02262,-0.035380002,73.245,-104.31,4782.574,9230820048896.0,Healthcare,Drug Manufacturers - Specialty & Generic
5803.T,フジクラ,2026-08-27,57.624264,18.068947,14.890768,0.72,0.38956,0.15669,18.072,94.96,367.476,9059993387008.0,Industrials,Conglomerates
7741.T,ＨＯＹＡ,2026-08-27,33.025967,35.963642,8.095605,1.18,0.2653,0.27176002,4.404,743.96,3034.98,8219168079872.0,Healthcare,Medical Instruments & Supplies
8053.T,住友商事,2026-08-27,14.048097,3.953394,1.7538136,2.27,0.13605,0.08262,101.995,124.75,999.251,8304828874752.0,Industrials,Conglomerates
