ticker,meigara,as_of,per,per_forward,pbr,dividend_yield,roe,profit_margin,debt_to_equity,eps,bps,market_cap,sector,industry
8306.T,三菱ＵＦＪフィナンシャル・グループ,2026-09-01,15.636887,24.393461,1.8346549,2.61,0.09458999,0.27446,,236.62,2016.728,41646330740736.0,Financial Services,Banks - Diversified
7203.T,トヨタ自動車,2026-09-01,9.226698,10.002467,1.0293291,3.17,0.12404,0.0863,114.974,351.48,3150.596,38403068395520.0,Consumer Cyclical,Auto Manufacturers
9984.T,ソフトバンクグループ,2026-09-01,6.0293565,17.81977,1.6451606,0.21,0.31964,0.61613,130.15,872.73,3198.472,29987736387584.0,Communication Services,Telecom Services
6857.T,アドバンテスト,2026-09-01,64.33707,140.41139,23.177658,0.18,0.56895,0.37325,10.374,518.83,1440.18,24109756973056.0,Technology,Semiconductor Equipment & Materials
8316.T,三井住友フィナンシャルグループ,2026-09-01,15.725824,22.054058,1.6535844,1.94,0.08569,0.27818,,445.7,4238.671,26630766460928.0,Financial Services,Banks - Diversified
8035.T,東京エレクトロン,2026-09-01,43.87974,42.946415,11.664903,1.33,0.30929002,0.23645,,1252.97,4713.284,24977241800704.0,Technology,Semiconductor Equipment & Materials
6098.T,リクルートホールディングス,2026-09-01,50.28599,57.809864,13.724173,0.14,0.36222,0.14974,10.003,347.91,1274.758,24271462072320.0,Communication Services,Internet Content & Information
6501.T,日立製作所,2026-09-01,31.351137,31.106495,3.7804642,1.03,,0.07244,15.628,176.74,1465.693,24802295283712.0,Industrials,Conglomerates
6758.T,ソニーグループ,2026-09-01,21.685068,22.085154,2.8389595,0.87,0.13159999,-0.01746,21.318,186.58,1425.17,23684498587648.0,Technology,Consumer Electronics
9983.T,ファーストリテイリング,2026-09-01,45.74752,52.0621,8.014174,0.88,0.22481,0.1351,28.419,1557.68,8891.745,21866202791936.0,Consumer Cyclical,Apparel Retail
8411.T,みずほフィナンシャルグループ,2026-09-01,15.516503,25.835487,1.8384318,1.74,0.124919996,0.29136,,560.5,4730.662,21131006312448.0,Financial Services,Banks - Regional
6861.T,キーエンス,2026-09-01,44.877876,44.061497,5.623112,0.66,,0.39224,,1833.42,14632.466,19954967511040.0,Technology,Scientific & Technical Instruments
8058.T,三菱商事,2026-09-01,23.60787,23.37295,1.8839544,2.6,0.10077,0.04507,62.621,209.93,2630.637,18146387820544.0,Industrials,Conglomerates
8001.T,伊藤忠商事,2026-09-01,16.790403,3.3193257,2.2190182,2.09,0.14093,0.060110003,72.922,127.96,968.221,15017827106816.0,Industrials,Conglomerates
8766.T,東京海上ホールディングス,2026-09-01,27.979498,15.83303,1.8092952,1.7,,0.0,9.282,278.99,4314.387,14829595131904.0,Financial Services,Insurance - Property & Casualty
8031.T,三井物産,2026-09-01,17.861317,17.689297,1.6407808,2.79,0.11378,0.06225,63.652,291.02,3168.004,14732111118336.0,Industrials,Conglomerates
9432.T,ＮＴＴ,2026-09-01,13.925457,12.068728,1.4504006,3.13,0.107130006,0.07126,168.396,12.61,121.07,14259249479680.0,Communication Services,Telecom Services
7011.T,三菱重工業,2026-09-01,55.085712,41.610016,4.0863304,0.77,0.14746,0.07763,26.356,70.0,943.634,12956967370752.0,Industrials,Specialty Industrial Machinery
6981.T,村田製作所,2026-09-01,56.953125,30.724491,4.809938,0.97,0.10063,0.13854,2.009,128.0,1515.612,13270076358656.0,Technology,Electronic Components
2914.T,日本たばこ産業,2026-09-01,21.004023,23.413372,2.8486507,3.92,0.14298001,0.16726999,37.91,335.65,2474.856,12516270800896.0,Consumer Defensive,Tobacco
4519.T,中外製薬,2026-09-01,24.227812,29.392565,5.626443,1.91,0.23493,0.35103,,286.2,1232.395,11410432065536.0,Healthcare,Drug Manufacturers - General
7182.T,ゆうちょ銀行,2026-09-01,23.201902,29.113707,1.3161933,2.73,0.06572,0.30753002,,147.1,2593.084,12157058023424.0,Financial Services,Banks - Regional
6503.T,三菱電機,2026-09-01,27.845865,33.43224,2.47199,1.07,0.10283,0.07018,7.163,198.27,2233.423,11298371796992.0,Industrials,Electrical Equipment & Parts
9434.T,ソフトバンク,2026-09-01,21.412079,20.802416,3.9611607,3.71,0.16712,0.07721,159.994,11.26,60.866,11532709658624.0,Communication Services,Telecom Services
4063.T,信越化学工業,2026-09-01,23.622545,18.099657,2.4346652,1.93,0.112320006,0.18361999,5.487,252.64,2451.261,11038989746176.0,Basic Materials,Chemicals
9433.T,ＫＤＤＩ,2026-09-01,16.387814,1290.558,2.2329717,2.84,0.14586,0.12086,93.799,183.49,1346.636,11117026869248.0,Communication Services,Telecom Services
7974.T,任天堂,2026-09-01,24.975992,26.74757,3.5966861,2.42,,0.0,,364.47,2530.941,10494604738560.0,Communication Services,Electronic Gaming & Multimedia
6752.T,パナソニック　ホールディングス,2026-09-01,54.90027,26.408054,1.9258628,1.2,0.0525,0.030989999,27.876,81.22,2315.326,10411430641664.0,Technology,Consumer Electronics
4502.T,武田薬品工業,2026-09-01,,41.634018,1.2221452,3.54,-0.02262,-0.035380002,73.245,-104.4,4782.574,9333012168704.0,Healthcare,Drug Manufacturers - Specialty & Generic
