ticker,code,meigara,market_cap
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,40359926648868.0
7203.T,7203,トヨタ自動車,36352031113600.0
9984.T,9984,ソフトバンクグループ,29423543068263.0
6857.T,6857,アドバンテスト,25785451406400.0
8316.T,8316,三井住友フィナンシャルグループ,25662389284620.0
8035.T,8035,東京エレクトロン,25213475508000.0
6098.T,6098,リクルートホールディングス,23799767315765.0
6501.T,6501,日立製作所,23754876534951.0
6758.T,6758,ソニーグループ,22701059183250.0
9983.T,9983,ファーストリテイリング,22130095850880.0
8411.T,8411,みずほフィナンシャルグループ,20200434828212.0
6861.T,6861,キーエンス,19765798584000.0
8058.T,8058,三菱商事,17274950729778.0
8001.T,8001,伊藤忠商事,14944433322668.0
8766.T,8766,東京海上ホールディングス,14493336243861.0
8031.T,8031,三井物産,13870517182938.0
9432.T,9432,ＮＴＴ,13772030637159.828
7011.T,7011,三菱重工業,13172020612800.0
6981.T,6981,村田製作所,13078944392820.0
2914.T,2914,日本たばこ産業,12397322064936.0
4519.T,4519,中外製薬,11604275307856.0
7182.T,7182,ゆうちょ銀行,11551519693203.0
6503.T,6503,三菱電機,11498922625344.0
9434.T,9434,ソフトバンク,11456175888028.5
4063.T,4063,信越化学工業,11037139588332.0
9433.T,9433,ＫＤＤＩ,10712200746605.0
7974.T,7974,任天堂,10255960031680.0
6752.T,6752,パナソニック　ホールディングス,10142914286880.0
4502.T,4502,武田薬品工業,9356963432540.0
5803.T,5803,フジクラ,8783491476105.0
7741.T,7741,ＨＯＹＡ,8351304157675.0
8053.T,8053,住友商事,8349848005216.0
8002.T,8002,丸紅,7983272071838.0
8015.T,8015,豊田通商,7955273184760.0
8725.T,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,7290033087460.0
5802.T,5802,住友電気工業,6899171214250.0
8591.T,8591,オリックス,6870189434350.0
6178.T,6178,日本郵政,6736563785664.0
6301.T,6301,小松製作所,6611028042720.0
6146.T,6146,ディスコ,6574228812250.0
8750.T,8750,第一ライフグループ,6572198601567.5
7267.T,7267,本田技研工業,6518125948454.5
6702.T,6702,富士通,6432495495900.0
4578.T,4578,大塚ホールディングス,6422934596175.0
6701.T,6701,日本電気,6195352903407.0
6723.T,6723,ルネサスエレクトロニクス,6162293713908.0
8630.T,8630,ＳＯＭＰＯホールディングス,6108512883468.0
6367.T,6367,ダイキン工業,5840883478200.0
6762.T,6762,ＴＤＫ,5753305152875.0
4062.T,4062,イビデン,5644400672080.0
6954.T,6954,ファナック,5620408634364.0
8308.T,8308,りそなホールディングス,5476281264224.0
4568.T,4568,第一三共,5276994367000.0
2802.T,2802,味の素,5163267402296.0
5108.T,5108,ブリヂストン,5114670680941.0
4661.T,4661,オリエンタルランド,4979819295978.0
8309.T,8309,三井住友トラストグループ,4820775562026.0
6902.T,6902,デンソー,4811202759587.0
8604.T,8604,野村ホールディングス,4686377958882.0
6971.T,6971,京セラ,4665579497125.0
3382.T,3382,セブン＆アイ・ホールディングス,4588526976792.0
8802.T,8802,三菱地所,4542203006640.0
6273.T,6273,ＳＭＣ,4496375002560.0
1605.T,1605,ＩＮＰＥＸ,4459438163022.0
4503.T,4503,アステラス製薬,4339989774613.5
7269.T,7269,スズキ,4153726995202.0
8801.T,8801,三井不動産,4092119707360.0
9020.T,9020,東日本旅客鉄道,4046581443072.0
4901.T,4901,富士フイルムホールディングス,3946758245100.0
7751.T,7751,キヤノン,3915098690684.0
4689.T,4689,ＬＩＮＥヤフー,3835644870006.774
8267.T,8267,イオン,3830392085442.0
4543.T,4543,テルモ,3793961039996.0
9022.T,9022,東海旅客鉄道,3738658861366.0
7832.T,7832,バンダイナムコホールディングス,3628848618654.0
5016.T,5016,ＪＸ金属,3574582049500.0
5401.T,5401,日本製鉄,3538201030553.0
5020.T,5020,ＥＮＥＯＳホールディングス,3495522335838.0
4452.T,4452,花王,3250795472442.0
7936.T,7936,アシックス,3215619856008.0
6326.T,6326,クボタ,3146577515794.0
8830.T,8830,住友不動産,3138448272350.0
5713.T,5713,住友金属鉱山,3107745243250.0
6920.T,6920,レーザーテック,3103013656920.0
4004.T,4004,レゾナック・ホールディングス,3034363305050.0
9766.T,9766,コナミグループ,3014776181920.0
6594.T,6594,ニデック,2968942472650.0
1925.T,1925,大和ハウス工業,2921456770686.0
9503.T,9503,関西電力,2906016954120.0
4307.T,4307,野村総合研究所,2818988780937.0
9101.T,9101,日本郵船,2810364972888.0
7013.T,7013,ＩＨＩ,2796707166064.0
4612.T,4612,日本ペイントホールディングス,2770595672366.0
5801.T,5801,古河電気工業,2747153645060.0
9735.T,9735,セコム,2564317154720.0
8601.T,8601,大和証券グループ本社,2518863723384.0
7735.T,7735,ＳＣＲＥＥＮホールディングス,2497853880260.0
4507.T,4507,塩野義製薬,2488252177788.0
7532.T,7532,パン・パシフィック・インターナショナルホールディングス,2463928113167.656
2502.T,2502,アサヒグループホールディングス,2455809931182.0
2503.T,2503,キリンホールディングス,2453628063301.0
3659.T,3659,ネクソン,2430876671258.0
9104.T,9104,商船三井,2430769040136.0
4091.T,4091,日本酸素ホールディングス,2421381354606.0
8697.T,8697,日本取引所グループ,2330702683911.5
8795.T,8795,Ｔ＆Ｄホールディングス,2311217226549.0
7453.T,7453,良品計画,2280969170724.0
7733.T,7733,オリンパス,2267064768573.0
6361.T,6361,荏原製作所,2258285858379.0
7012.T,7012,川崎重工業,2248483271525.0
6988.T,6988,日東電工,2243888899200.0
1928.T,1928,積水ハウス,2243552441349.0
1812.T,1812,鹿島建設,2225935252255.0
9502.T,9502,中部電力,2215946943723.0
8473.T,8473,ＳＢＩホールディングス,2193853402648.0
6383.T,6383,ダイフク,2178568284468.0
3407.T,3407,旭化成,2178105518040.5
7186.T,7186,横浜フィナンシャルグループ,2136259722326.0
9532.T,9532,大阪瓦斯,2125222523200.0
1801.T,1801,大成建設,2088977596805.0
4684.T,4684,オービック,2055465507326.0
1802.T,1802,大林組,2043704161122.0
6504.T,6504,富士電機,2038766493540.0
8593.T,8593,三菱ＨＣキャピタル,2018073100270.0
9531.T,9531,東京瓦斯,2003551677852.0
9107.T,9107,川崎汽船,1980306539658.0
